Document Title,Abstract,Year,PDF Link,label
Conversational Bot for Newcomers Onboarding to Open Source Projects,"This paper targets the problems newcomers face when onboarding to open source projects
and the low retention rate of newcomers. Open source software projects are becoming
increasingly more popular. Many major companies have started building open source
software. Unfortunately, many newcomers only commit once to an open source project
before moving on to another project. Even worse, many novices struggle with joining
open source communities and end up leaving quickly, sometimes before their first successful
contribution. In this paper, we propose a conversational bot that would recommend
projects to newcomers and assist in the onboarding to the open source community. The
bot would be able to provide helpful resources, such as Stack Overflow related content.
It would also be able to recommend human mentors. We believe that this bot would improve
newcomers' experience by providing support not only during their first contribution,
but by acting as an agent to engage them to the project.",2020,https://dx.doi.org/10.1145/3387940.3391534,no
Understanding User-Bot Interactions for Small-Scale Automation in Open-Source Development,"Small-scale automation tools, or ""bots,"" have been widely deployed in open-source
software development to support manual project maintenance tasks. Though interactions
between these bots and human developers can have significant effects on user experience,
previous research has instead mostly focused on project outcomes. We reviewed existing
small-scale bots in wide use on GitHub. After an in-depth qualitative and quantitative
evaluation, we compiled several important design principles for human-bot interaction
in this context. Following the requirements, we further propose a workflow to support
bot developers.",2020,https://dx.doi.org/10.1145/3334480.3382998,no
Onboarding Bot for Newcomers to Software Engineering,"Software development teams dedicate considerable resources to training newcomers.
Newcomers are new developers to a software project. The software onboarding process
is more complicated than onboarding into other organizations. It is much more challenging
and time-consuming. The role of a mentor in onboarding newcomers in software engineering
is well understood. However, the disruptions to the work of an experienced developer
can reduce the quality of their work and job satisfaction. We propose a conversational
bot that can help onboard newcomers to a software project instead of an experienced
programmer. The bot will act as a mentor for the newcomer, thus putting less stress
on experienced programmers. The bot will also be able to scan outside sources, such
as stack overflow, for solutions to issues a newcomer may face. The newcomer will
be able to interact with the bot using natural language. We will use this bot to assess
improvements to code quality in future studies.",2020,https://dx.doi.org/10.1145/3379177.3388901,no
Accelerating Software Engineering Research Adoption with Analysis Bots,"An important part of software engineering (SE) research is to develop new analysis
techniques and to integrate these techniques into software development practice. However,
since access to developers is non-trivial and research tool adoption is slow, new
analyses are typically evaluated as follows: a prototype tool that embeds the analysis
is implemented, a set of projects is identified, their revisions are selected, and
the tool is run in a controlled environment, rarely involving the developers of the
software. As a result, research artifacts are brittle and it is unclear if an analysis
tool would actually be adopted.In this paper, we envision harnessing the rich interfaces
provided by popular social coding platforms for automated deployment and evaluation
of SE research analysis. We propose that SE analyses can be deployed as analysis bots.
We focus on two specific benefits of such an approach: (1) analysis bots can help
evaluate analysis techniques in a less controlled, and more realistic context, and
(2) analysis bots provide an interface for developers to ""subscribe"" to new research
techniques without needing to trust the implementation, the developer of the new tool,
or to install the analysis tool locally. We outline basic requirements for an analysis
bots platform, and present research challenges that would need to be resolved for
bots to flourish.",2017,https://dx.doi.org/10.1109/ICSE-NIER.2017.17,no
BotSE '19: Proceedings of the 1st International Workshop on Bots in Software Engineering,"Welcome to the first International Workshop on Bots in Software Engineering (BotSE),
held in conjunction with the 41st ACM/IEEE International Conference on Software Engineering
(ICSE). BotSE aims to establish itself as an annual venue to gather researchers, practitioners
and software community can discuss the use of bots in software engineering and its
related issues. Bots (short for software robots) are software applications that perform
often repetitive or simple tasks. In particular, social and chat bots interacting
with humans are a recent research topic. Similarly, bots can be used to automate many
tasks that are performed by software practitioners and teams in their day-to-day work.
Recent work argue that bots can save developers' time and significantly increase productivity.
Therefore, the goal of this one-day workshop is to bring together software engineering
researchers and practitioners to discuss the opportunities and challenges of bots
in software engineering.",2019,,no
Summary of the 2nd International Workshop on Bots in Software Engineering (BotSE 2020),"Bots automate many tasks in software engineering projects often in the form of chatbots.
Bots have been proposed, for example, for testing, maintenance, or automating bug
fixes. Following the success of the first BotSE workshop, we organized this second
edition collocated with ICSE 2020 to bring together the research community that investigates
bots for software engineering. Specifically, the workshop's goal was to share experiences
and challenges, discuss new types of bots, and map out future directions. The workshop
program comprised the presentation of 8 papers and 2 keynotes, followed by extensive
discussion. Overall, the community matured by discussing how to design, build, and
evaluate bots. The community aims to organise a 3rd edition of the workshop. Website:
http://botse.org/",2021,https://dx.doi.org/10.1145/3437479.3437484,no
Xface: Open Source Toolkit for Creating 3d Faces of an Embodied Conversational Agent,"Xface, the new version of our open source, platform independent toolkit for developing
3D embodied conversational agents is presented. The toolkit currently incorporates
four pieces of software. The core Xface library is for developers who want to embed
3D facial animation to their applications. XfaceEd editor provides an easy to use
interface to generate MPEG-4 ready meshes from static 3D models. XfacePlayer is a
sample application that demonstrates the toolkit in action and XfaceClient is used
as the communication controller over network.",2005,https://dx.doi.org/10.1007/11536482_25,no
The Draw-Bot: A Project for Teaching Software Engineering,"The authors present a course project which was successfully used to teach software
design principles to third year computer engineering students. The goal of the project
is to program a robot to trace a shortest path through a maze. The students, organized
in teams of five, have to follow the classical steps of software development and prepare
interface, design and testing documents. Having a project that requires controlling
a device to complete a clear task generates enthusiasm in the students and helps them
to understand the principles taught in the course.",1998,,no
Building an Enterprise Chatbot: Work with Protected Enterprise Data Using Open Source Frameworks,"Explore the adoption of chatbots in business by focusing on the design, deployment,
and continuous improvement of chatbots in a business, with a single use-case from
the banking and insurance sector. This book starts by identifying the business processes
in the banking and insurance industry. This involves data collection from sources
such as conversations from customer service centers, online chats, emails, and other
NLP sources. You'll then design the solution architecture of the chatbot. Once the
architecture is framed, the author goes on to explain natural language understanding
(NLU), natural language processing (NLP), and natural language generation (NLG) with
examples. In the next sections, you'll design and implement the backend framework
of a typical chatbot from scratch. You will also explore some popular open-source
chatbot frameworks such as Dialogflow and LUIS. The authors then explain how you can
integrate various third-party services and enterprise databases with the custom chatbot
framework. In the final section, you'll discuss how to deploy the custom chatbot framework
on the AWS cloud. By the end of Building an Enterprise Chatbot, you will be able to
design and develop an enterprise-ready conversational chatbot using an open source
development platform to serve the end user. What You Will Learn Identify business
processes where chatbots could be used Focus on building a chatbot for one industry
and one use-case rather than building a ubiquitous and generic chatbot Design the
solution architecture for a chatbot Integrate chatbots with internal data sources
using APIs Discover the differences between natural language understanding (NLU),
natural language processing (NLP), and natural language generation (NLG) Work with
deployment and continuous improvement through representational learning Who This Book
Is For Data scientists and enterprise architects who are currently looking to deploy
chatbot solutions to their business.",2019,,no
The Power of Bots: Characterizing and Understanding Bots in OSS Projects,"Leveraging the pull request model of social coding platforms, Open Source Software
(OSS) integrators review developers' contributions, checking aspects like license,
code quality, and testability. Some projects use bots to automate predefined, sometimes
repetitive tasks, thereby assisting integrators' and contributors' work. Our research
investigates the usage and impact of such bots. We sampled 351 popular projects from
GitHub and found that 93 (26%) use bots. We classified the bots, collected metrics
from before and after bot adoption, and surveyed 228 developers and integrators. Our
results indicate that bots perform numerous tasks. Although integrators reported that
bots are useful for maintenance tasks, we did not find a consistent, statistically
significant difference between before and after bot adoption across the analyzed projects
in terms of number of comments, commits, changed files, and time to close pull requests.
Our survey respondents deem the current bots as not smart enough and provided insights
into the bots' relevance for specific tasks, challenges, and potential new features.
We discuss some of the raised suggestions and challenges in light of the literature
in order to help GitHub bot designers reuse and test ideas and technologies already
investigated in other contexts.",2018,https://dx.doi.org/10.1145/3274451,no
