BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Custom2,Custom3,Custom4,Custom5,CI1 – Idioma Inglês,CI2 – Data de publicação (qualquer),CI3 – peer reviewed,CI4 – Disponível para download,CI5 – Assunto bots conversacionais,CI6 – Assunto engenharia de software,CE1 – Estudo duplicado,CE2 – Já existe replicação mais recente,CE3 – Bots não conversacionais,,,,
10,,2007,,Proceedings of the Fifteenth ACM International Conference,Proceedings of the ACM International Multimedia Conference and Exhibition,,,,,2007,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-37849039522&partnerID=40&md5=afe88f6376926174c4198d6624c16557,,,,,,,,,,,,,"The proceedings contain 199 papers. The topics discussed include: programming web multimedia applications with Hop; advene: an open-source framework for integrating and visualising audiovisual metadata; GPCA, open source multimedia framework; Xface open source project and SMIL-Agent scripting Language for creating and animating embodied conversational agents; large scale semantic structures for image retrieval; realizing multimedia processes by combining intelligent content and semantic web services; active reading of audiovisual documents; a utility-driven framework for loss and encoding aware video adaptation; Ligne-Claire video encoding for power constrained mobile environments; display pre-filtering for multi-view video compression; towards the next-plateau - innovative multimedia research beyond TRECVID; QueST; querying music databases by a acoustic and textual features; and scalable music recommendation by search.",,,,,,,,,,,,,,,,,
7,,2010,,ISO/IEC/IEEE International Standard - Systems and software engineering -- Vocabulary,ISO/IEC/IEEE 24765:2010(E),,,Dec,1-418,2010,,,,,,,,,,,,,,,,"The systems and software engineering disciplines are continuing to mature while information technology advances. This International Standard was prepared to collect and standardize terminology. Its purpose is to identify terms currently in use in the field and standard definitions for these terms. It is intended to serve as a useful reference for those in the Information Technology field, and to encourage the use of systems and software engineering standards prepared by ISO and liaison organizations IEEE Computer Society and Project Management Institute (PMI). This International Standard replaces IEEE Std 610.12-1990, IEEE Standard Glossary of Software Engineering Terminology, which was contributed by the IEEE as a source document. The approach and lexical exactitude of IEEE Std 610.12-1990 served as a model for this International Standard. Nevertheless, approximately two thirds of the definitions in this International Standard are new since IEEE Std 610.12 was last updated in 1990, a reflection of the continued evolution in the field.",,IEEE standards;ISO standards;IEC standards;Software engineering;Dictionaries;computer;dictionary;information technology;software engineering;systems engineering;terminology;vocabulary,,,,,,,,,,,,,,,
7,,2011,,IEEE Standard for the Functional Architecture of Next Generation Service Overlay Networks,IEEE Std 1903-2011,,,Oct,1-147,2011,,,,,,,,,,,,,,,,"A framework of Internet Protocol (IP)-based service overlay networks is described and context-aware [e.g., such as required Quality of Service (QoS) level; type of service such as real time versus data; nature of data stream such as l-frame versus B-frame; and type of terminal such as TV monitor versus personal digital assistant], dynamically adaptive (e.g., using locally derived information to discover, organize, and maintain traffic flows in the network within a local area network), and self-organizing networking capabilities (e.g., developing network structures based on the needs of the customers and the capabilities of existing network structures), including advanced routing and forwarding schemes, that are independent of underlying networks, are specified in this Next Generation Service Overlay Network (NGSON) standard. The NGSON architecture provides advanced service- and transport-related functions to support context-aware, dynamically adaptive, and self-organizing networks. This standard specifies a functional architecture for NGSON. The functional architecture consists of a set of functional entities (FEs), their functions, reference points, and information flows to illustrate service interaction and media delivery among FEs and external components. NGSON may operate with different underlying networks such as IP Multimedia Subsystem (IMS), next generation network (NGN), peer-to-peer (P2P) overlay, or Web to transmit NGSON signaling messages and/or media among its users and services. Specifications of underlying networks are outside scope of this standard.",,IEEE standards;Context awareness;Content distribution networks;Search methods;Information analysis;Self-organizing networks;content delivery;context awareness;dynamic adaptation;IEEE 1903;self-organization;service composition;service discovery and negotiation;service overlay network;service routing,,,,,,,,,,,,,,,
6,,2012,,[Front cover],,,,Jan,c1-c1,2012,,,,2012 IEEE International Conference on Technology Enhanced Education (ICTEE),,,,,,,,,,,,The following topics are dealt with: technology enhanced education; personalized e-learning system; software engineering virtual labs; students e-dissertation; self directed adaptive e-portfolio architecture; computer literacy; educational technology acceleration; ACM-learning architecture; social media; second generation tag cloud; educational Web site; Web based collaborative learning environments; intelligent question answering conversational agent; optimized e-allotment algorithm; educational databases; augmented vocational tools; video lectures; collaborative educational network; online student evaluation; educational informatics; EduPad; tablet based educational system; mobile learning; adaptive test sheet generation; Kloud; virtual elastic knowledge cloud; LabVIEW; mobile vocational education; My Desk; cloud subset preserving mining; ontology supported inference system; profile-learning based differential assessment method; remote virtual laboratory; student learning process tracing; online courses; and virtual learning tool.,,,,,,,,,,,,,,,,,
5,9781970001075,2017,,Preface,,,,,xi–xv,2017,,,https://doi.org/10.1145/3122865.3122866,Frontiers of Multimedia Research,,,,,Association for Computing Machinery and Morgan &amp; Claypool,,,,,,,"The field of multimedia is dedicated to research and studies that leverage multiple modalities of signals and data in developing intelligent systems and technologies. Be it search engine, recommendation system, streaming service, interactive agent, or collaborative system, multimedia plays a critical role in ensuring full understanding of multimodal sensory signals, robust modeling of user-content interaction, natural and rich communication experience, and scalable system deployment. The goal is to utilize unique contributions from each modality, integrate complementary synergies, and achieve the best performance and novel functions beyond what's separately available in each individual medium. In this community, most contributors also maintain strong activities in other disciplines such as networking, computer vision, human-computer interaction, and machine learning. But the field of multimedia is unique in offering a rich and dynamic forum for researchers from ""traditional"" fields to collaborate and develop new solutions and knowledge that transcend the boundaries of individual disciplines.The field enjoys a long history of vibrant research. For example, the flagship ACM SIGMM Multimedia Conference was established in 1993, celebrating its 25th anniversary this year. The community also has several well-known conferences and journals organized by ACM, IEEE, and other groups, attracting a large number of researchers and practitioners from around the world. However, despite the prolific research activities and outcomes, there has been less effort toward developing books that serve as an introduction to the rich spectrum of topics in this broad field. Most of the few books available today either focus on specific subfields or basic background. There is a lack of tutorial-style materials covering the active topics being pursued by the leading researchers at frontiers of the field.SIGMM launched a new initiative to address this need in 2015, by selecting and inviting 12 rising-star speakers from different subfields of multimedia to deliver plenary tutorial style talks at ACM Multimedia 2015. Each speaker discussed challenges and the state of the art within their prospective research areas in a general manner to the broad community. Topics covered were comprehensive, including multimedia content understanding, multimodal human-human and human-computer interaction, multimedia social media, and multimedia system architecture and deployment. Following the very positive responses to the talks, these rising-star speakers were invited to expand the content covered in their talks to chapters that can be used as reference materials for researchers, students, and practitioners. Each resulting chapter discusses problems, technical challenges, state-of-the-art approaches and performances, open issues, and promising directions for future work. Collectively, the chapters provide an excellent sampling of major topics addressed by the community as a whole. This book, capturing outcomes of such efforts, is well positioned to fill the aforementioned needs by providing tutorial-style reference materials for frontier topics of multimedia.Section 1 of the book includes five chapters that are focused on analysis and understanding of multimedia content. Topics covered range from analysis of video content, audio content, multimodal content about interaction of freestanding conversational groups, and analysis of multimedia data in the encrypted format for preserving privacy on cloud servers, to efficient approximate similarity search techniques for searching over large-scale databases.First, Zuxuan Wu et al. review current research on understanding video content by detecting the classes of actions or events contained in a given video clip and generation of full-sentence captions describing the content in each such video. Unlike previous surveys, this review focuses on solutions based on deep learning, reflecting the recent trend of research in this area. The chapter also gives extensive reviews of the datasets used in state-of-the-art research and benchmarking efforts.Extending the modality from video to audio, in Chapter 2, Gerald Friedland et al. introduce the field of computer audition, aiming to develop the theory behind artificial systems that can extract information from sound. This chapter reviews the research datasets available, appropriate representations needed for audio, and a few challenging problems such as automatic extraction of hierarchical semantic structures from audio content and automatic discovery of high-level semantic concepts from massive audio data and associated metadata.The holy grail of research for the multimedia community is to be able to integrate and fuse information extracted from multiple modalities of data. In Chapter 3, Xavier Alameda-Pineda et al. present an excellent example and emergent research challenges in the application of detecting social interaction among freestanding conversational groups. The chapter includes overviews of research issues, approaches, evaluation of joint estimation of head and body poses using multiPreface modality data (such as wearable sensors and distributed camera networks), and results of detecting dynamic group formation of interacting people.Chapter 4 addresses a novel emerging topic prompted by the popular approach to multimedia analysis using cloud computing servers. When multimedia data is sent to the cloud for storage or processing, there is a risk of privacy breach via unauthorized access by third parties to the content in the cloud. Pradeep Atrey et al. review state-of-the-art methods and open issues for processing multimedia content in the encrypted domain without needing to convert data to the original format. This allows content to stay in its protected form while useful analysis is performed on it.In Chapter 5, Herv\'{e}e Jeundefinedou surveys efficient techniques for finding approximate solutions for similarity search, which is of particular interest when searching massive multimedia data like images, videos, and audio recordings. Jeundefinedou considers various performance factors like query speed, memory requirement, and search accuracy. Multiple frameworks based on locality sensitive hashing (LSH), quantization/ compression, and hybrid combinations are also reviewed in a coherent manner.In Section 2 of the book, the emphasis shifts from content analysis to humancentered aspects of multimedia computing. This new focus goes beyond extraction of semantic information from multimedia data. Instead, the broad research scope incorporates understanding of users and user-content interaction so as to improve effectiveness of multimedia systems in many applications, such as search and recommendation.Under the human-centric theme, Chapter 6, authored by Peng Cui, discusses the evolution of multimedia computing paradigms from the data-centric, to the content-centric, and recently to the human-centric. Cui presents a new framework, called social-sensed multimedia computing, to capture many key issues involved and advances achieved, including understanding of user-content interaction behavior, understanding of user intent, multimedia representation considering user intention, and integration of heterogeneous data sensed on multimedia social networks.Chapter 7 follows the human-centric theme and further moves the focus from processing individual multimedia data streams to processing a large number of heterogeneous streams in different modalities involving a large number of people. Analysis of such massive streams offers the possibility of detecting important situations of society, such as socio-economic affairs, as well as the living environment. Vivek Singh provides an overview of the problem definition, research framework, and the EventShop toolkit he developed for application development in this emerging area.The extension to the human-centric computing paradigm also calls for formal mathematical theories and tools for explaining the phenomena observed, such as the information propagation behaviors and the occurrences of information cascades on social networks. In Chapter 8, Marian-Andrei Rizoiu et al. review stochastic processes such as the Hawkes point process for modeling discrete, interdependent events over continuous time. These are strongly related to patterns corresponding to retweet cascade events on social media. Successful models like these can help researchers understand information dissemination patterns and predict popularity on social media.Interaction between users and content reveals not only the intent of the user (covered in Chapter 6), but also attributes of the content as well as of the user him/herself. Such interaction can be manifested in multiple forms including explicit cues such as visual and verbal expressions, and implicit cues such as eye movement and physiological signals like brain activity and heart rate. Chapter 9 includes a survey by Subramanian Ramanathan et al. on how such implicit user interaction cues can be explored to improve analysis of content (scene understanding) and user (user emotion recognition).To support research and development of emerging multimedia topics discussed above, there is a critical need for new generations of communication and computing systems that take into account the unique requirements of multimedia, such as real-time, high bandwidth, distributiveness, major power consumption, and resource uncertainty. The popular cloud-based computing systems, though prevalent formanyapplications, are not suitable for large-scale multimedia applications such as cloud-based gaming service and animation rendering service.The last section of the book focuses on the systems aspect, covering distinct topics of multimedia fog computing (Chapter 10) and cloud gaming (Chapter 11). Cheng-Hsin Hsu et al. survey the emerging paradigm focused on fog computing, in which computing services are crowdsourced to the edge nodes or even to the client devices on the user end. This offers major potential benefits in terms of low latency, location awareness, scalability, and heterogeneity. However, it also poses many significant challenges in areas such as resource discovery, resource allocation and management, quality of service, and security. Discussion of these challenges, along with recent advances in this area, are presented in Chapter 10.Finally, as a concrete example of large-scale distributed multimedia computing systems, Chapter 11 (by Kuan-Ta Chen et al.) presents a comprehensive survey of cloud gaming, with emphasis on the development of platform and testbed, test scenarios, and evaluation of performance, in order to enhance optimal design of various components of the complex cloud gaming systems. In particular, the chapter overviews extensive research in areas such as open-source platforms, cloud deployment, client design, and communication between gaming servers and clients.The scope of this book is by no means exhaustive or complete. For example, it can be expanded to include other important topics such as (but not limited to) multimedia content generation, multimodal knowledge discovery and representation, multimedia immersive networked environments, and applications in areas like healthcare, learning, and infrastructure. Nonetheless, the comprehensive survey materials already covered in the book provide an excellent foundation for exploring additional topics mentioned above, and many other relevant fields.We would like to give sincere acknowledgment to Dr. Svebor Karaman, who has provided tremendous assistance in communicating with contributors and organizing the content of this book. In addition, Diane Cerra and her team at Morgan &amp; Claypool Publishers have provided valuable guidance and editorial help",,,,,,,,,,,,,,,,,
10,,2017a,,"Proceedings - 2017 IEEE/ACM 39th International Conference on Software Engineering: New Ideas and Emerging Results Track, ICSE-NIER 2017","Proceedings - 2017 IEEE/ACM 39th International Conference on Software Engineering: New Ideas and Emerging Results Track, ICSE-NIER 2017",,,,,2017,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026738738&partnerID=40&md5=4a619db0e289c5dd3a7b84afa438e8a8,,,,,,,,,,,,,The proceedings contain 14 papers. The topics discussed include: performance metamorphic testing: motivation and challenges; anger and its direction in collaborative software development; DevOps in regulated software development: case medical devices; at the end of synthesis: narrowing program candidates; production-driven patch generation; statistical learning for inference between implementations and documentation; GuideAutomator: continuous delivery of end user documentation; accelerating software engineering research adoption with analysis bots; and on accelerating ultra-large-scale mining.,,,,,,,,,,,,,,,,,
10,,2017b,,ACM International Conference Proceeding Series,ACM International Conference Proceeding Series,Part F129475,,,,2017,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028315786&partnerID=40&md5=0de824cc2ae18fe50be5dcb2e37d6824,,,,,,,,,,,,,The proceedings contain 35 papers. The topics discussed include: towards easier visualization of linked data for lay users; large-scale storage and query processing for semantic sensor data; exploring lurking behaviors in online social networks; knowledge extraction from on-line open source bug tracking systems to predict bug-fixing time; a time series classification approach to game Bot detection; evolutionary mining of relaxed dependencies from big data collections; HERMEVENT: a news collection for emerging-event detection; querying and searching the deep web; on the SPARQL metamodeling semantics entailment regime for OWL 2 QL ontologies; semantic technology for open data publishing; efficient top-k shortest path query processing in sparse graph databases; mitigating linked data quality issues in knowledge-intense information extraction methods; analysis of semantic URLs to support automated linking of structured data on the web; managing road safety through the use of linked data and heat maps; an extended spreading activation technique for hashtag recommendation in microblogging platforms; a real-time twitter sentiment analysis using an unsupervised method; and an innovative majority voting mechanism in interactive social network clustering.,,,,,,,,,,,,,,,,,
7,,2018,,Front Cover,IEEE Software,35,1,January,c1-c1,2018,,,,,,,,,,,,,,,,"The theme articles in this issue address Software Safety and Security Risk Mitigation in Cyberphysical Systems and Actionable Analytics for Software Engineering. Other topics in the issue include modular architectures, DevOps, software standards, software bots, and requirements engineering research.",,IEEE Software;Jan./Feb.;software safety and security;risk mitigation;cyber-physical systems;actionable analytics;software engineering;modular architectures;DevOps;software standards;software bots;requirements engineering;software development,,,,,,,,,,,,,,,
10,,2018a,,"Proceedings of 2018 Learning With MOOCS, LWMOOCS 2018","Proceedings of 2018 Learning With MOOCS, LWMOOCS 2018",,,,,2018,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058994211&partnerID=40&md5=c9ee046e99430db4bd846e3f4e8b85e8,,,,,,,,,,,,,The proceedings contain 41 papers. The topics discussed include: scalable team-based software engineering education via automated systems; design of a conversational agent as an educational tool; the influence of immediate homework feedback on student performance and satisfaction in an engineering MOOC; intention-behavior dynamics in MOOC learning; what happens to good intentions along the way?; a comprehensive MOOC creation approach; making a creative commons MOOC: challenges and opportunities; blending MOOCs into higher education courses - a case study; team-based assignments in MOOCs - user feedback; and the clustering analysis system based on students' motivation and learning behavior.,,,,,,,,,,,,,,,,,
10,,2018b,,"Conference of Open Innovation Association, FRUCT","Conference of Open Innovation Association, FRUCT",2018-May,,,,2018,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055566287&partnerID=40&md5=806bb64e16e4838acb92361da50d02fb,,,,,,,,,,,,,The proceedings contain 41 papers. The topics discussed include: design of cyber-physical production system prototype based on an ethereum private network; DSLR imperfections extraction from image for source detection; survey on deduplication techniques in flash-based storage; analysis of user activity in wireless local area network of petrozavodsk state university; web-service for drive safely system user analysis: architecture and implementation; open source tool for VH-replacement products discovery and analysis; motivate online users by moderating and providing tasty testing experiences.; EvoCut: a new generalization of Albert-BarabaÁsi model for evolution of complex networks; compact fixed-point filter implementation; queuing system for the spacefibre standard; botanicum: a telegram bot for tree classification; data distribution services performance evaluation framework; evaluation of modern laser based indoor SLAM algorithms; deadlock-free routing in spacewire onboard network; network topology transformation for fault tolerance in spacewire onboard networks; measurement of inductance of liquefied natural gas; and unleashing full potential of ansible framework: university labs administration.,,,,,,,,,,,,,,,,,
